,0,1,2,3,4,5,6,7,8,9,10,,
0,0,1,0:37:53,Vex'ahlia,Intelligence,20,18,,,,FIRST ROLL OMG,,
1,1,1,0:41:48,Grog,Persuasion,19,18,,,,,,
2,2,1,0:43:25,Keyleth,Persuasion,2,2,,,,,,
3,3,1,0:46:35,Tiberius,Persuasion,12,3,,,,Disregarded due to advantage,,
4,4,1,0:46:35,Tiberius,Persuasion,27,18,,,,,,
5,5,1,0:46:35,Percy,Assist,21,15,,,,,,
6,6,1,0:47:52,Keyleth,Insight,27,17,,,,,,
7,7,1,1:00:35,Vex'ahlia,Persuasion,21,18,,,,,,
8,8,1,1:05:16,Vex'ahlia,Stealth,15,6,,,,,,
9,9,1,1:05:16,Vax'ildan,Stealth,20,7,,,,,,
10,10,1,1:05:16,Scanlan,Constitution,20,18,,,,,,
11,11,1,1:07:32,Tiberius,Perception,5,8,,,,,,
12,12,1,1:08:18,Tiberius,Dexterity Save,15,12,,,,,,
13,13,1,1:12:39,Tiberius,Intimidation,18,13,,,,,,
14,14,1,1:13:24,Tiberius,Persuasion,24,13,,,,,,
15,15,1,1:17:29,Vex'ahlia,Charisma,Nat1,1,,,,FIRST CRIT FAIL,,
16,16,1,1:19:58,Vax'ildan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage,,
17,17,1,1:19:58,Vax'ildan,Stealth,21,8,,,,With Advantage,,
18,18,1,1:20:40,Vax'ildan,Attack,Unknown,4,,,,Disregarded due to advantage,,
19,19,1,1:20:40,Vax'ildan,Attack,26,15,,,,Dagger Handle With advantage,,
20,20,1,1:21:30,Vax'ildan,Damage,27,,,,,FIRST DAMAGE,,
21,21,1,1:22:15,Vax'ildan,Acrobatics,30,17,,,,,,
22,22,1,1:24:15,Keyleth,Performance,Nat20,20,,,,FIRST NAT 20,,
23,23,1,1:26:49,Vax'ildan,Persuasion,15,13,,,,Disregarded due to advantage,,
24,24,1,1:26:49,Vax'ildan,Persuasion,15,13,,,,Wirh advantage,,
25,25,1,1:48:38,Tiberius,Persuasion,19,10,,,,,,
26,26,1,1:50:07,Vex'ahlia,Persuasion,23,16,,,,,,
27,27,1,1:59:06,Scanlan,Stealth,16,14,,,,Disregarded due to advantage,,
28,28,1,1:59:18,Scanlan,Stealth,16,14,,,,With advantage,,
29,29,1,2:02:41,Scanlan,Dexterity,Unknown,Unknown,,,,Disregarded due to disadvantage,,
30,30,1,2:02:41,Scanlan,Dexterity,11,11,,,,With disadvantage,,
31,31,1,2:19:48,Vax'ildan,Stealth,13,4,,,,,,
32,32,1,2:23:18,Percy,Attack,19,7,,,1,Pepperbox,,
33,33,1,2:23:18,Vex'ahlia,Attack,15,4,,,1,Arrow,,
34,34,1,2:23:18,Vax'ildan,Attack,19,9,,,1,Dagger,,
35,35,1,2:25:06,Grog,Initiative,18,16,,,,,,
36,36,1,2:25:06,Keyleth,Initiative,4,2,,,,,,
37,37,1,2:25:06,Percy,Initiative,27,20,,,,,,
38,38,1,2:25:06,Scanlan,Initiative,3,3,,,,,,
39,39,1,2:25:06,Tiberius,Initiative,21,19,,,,,,
40,40,1,2:25:06,Vax'ildan,Initiative,6,1,,,,,,
41,41,1,2:25:06,Vex'ahlia,Initiative,18,13,,,,,,
42,42,1,2:27:50,Percy,Attack,30,19,Y,,,"Bad News, FIRST CRIT",,
43,43,1,2:28:30,Percy,Damage,27,,,27 to Ogre,,,,
44,44,1,2:30:57,Tiberius,Damage,27,,,"27 to 5 Goblins, 14 (27/2) to 2 Ogres",5,Fireball,,
45,45,1,2:32:11,Tiberius,Damage,10,,,10 to 2 Ogres,,"Telekinesis, Ogres are prone",,
46,46,1,2:33:00,Vex'ahlia,Attack,21,10,,,,Lightning Arrow,,
47,47,1,33:17.0,Vex'ahlia,Damage,30,,,30 Lightning to Ogre,1,,,
48,48,1,34:17.0,Vex'ahlia,Damage,10,,,10 Lightning to Ogre,,,,
49,49,1,2:34:54,Grog,Insight,Nat20,20,,,,,,
50,50,1,2:34:54,Keyleth,Insight,20,10,,,,,,
51,51,1,2:34:54,Percy,Insight,Nat1,1,,,,,,
52,52,1,2:34:54,Scanlan,Insight,Unknown,Unknown,,,,"Gestures for bad roll, no number",,
53,53,1,2:34:54,Tiberius,Insight,4,7,,,,,,
54,54,1,2:34:54,Vax'ildan,Insight,4,2,,,,,,
55,55,1,2:34:54,Vex'ahlia,Insight,22,16,,,,,,
56,56,1,2:36:28,Grog,Attack,26,18,,,,Axe,,
57,57,1,2:36:39,Grog,Damage,13,,,13 to Goblin,1,,,
58,58,1,2:37:07,Grog,Attack,21,13,,,,Axe,,
59,59,1,2:37:11,Grog,Damage,15,,,15 to Goblin,1,,,
60,60,1,2:39:00,Vax'ildan,Attack,Nat1,1,,,,,,
61,61,1,2:39:00,Vax'ildan,Attack,Nat20,20,Y,,,Dagger of Venom,,
62,62,1,2:39:15,Vax'ildan,Damage,35,,,35 to Ogre,1,"Damage should include poison, 
number not given because dead without",,
63,63,1,2:41:30,Keyleth,Intimidation,4,4,,,,,,
64,64,1,2:47:55,Tiberius,Attack,23,14,,,,Scorching Ray,,
65,65,1,2:48:08,Tiberius,Damage,12,,,12 Fire to Naga,,,,
66,66,1,2:48:17,Tiberius,Attack,Nat20,20,Y,,,Scorching Ray,,
67,67,1,2:48:38,Tiberius,Damage,12,,,24 Fire to Naga,,,,
68,68,1,2:49:04,Vex'ahlia,Stealth,20,11,,,,,,
69,69,1,2:49:42,Vex'ahlia,Attack,21,10,,,,Arrow through Blazing Bowstring,,
70,70,1,2:50:10,Vex'ahlia,Damage,18,,,18 (11+7 Fire) to Naga,,,,
71,71,1,2:50:26,Vex'ahlia,Attack,24,13,,,,Arrow through Blazing Bowstring,,
72,72,1,2:50:34,Vex'ahlia,Damage,14,,,14 (7+7 Fire) to Naga,,,,
73,73,1,2:51:12,Grog,Attack,17,9,,,,Thrown Axe,,
74,74,1,2:51:24,Grog,Damage,15,,,15 to Naga,,,,
75,75,1,2:51:34,Vex'ahlia,Damage,6,,,6,,Hunter's Mark,,
76,76,1,2:51:45,Grog,Athletics,12,5,,,,,,
77,77,1,2:54:25,Keyleth,Constitution Save,Nat1,1,,31 Poison to Keyleth,,,,
78,78,1,2:55:11,Tiberius,Constitution Save,16,9,,14 Poison to Tiberius,,,,
79,79,1,2:56:10,Vax'ildan,Attack,30,19,Y,,,Dagger with Sneak Attack,,
80,80,1,2:56:30,Vax'ildan,Attack,26,16,,,,Dagger,,
81,81,1,2:56:45,Vax'ildan,Damage,44,,,44 to Naga,,,,
82,82,1,2:57:00,Vax'ildan,Damage,6,,,6 to Naga,,,,
83,83,1,2:58:11,Keyleth,Damage,8,,,4 to Naga,,Thunderwave,,
84,84,1,3:00:07,Scanlan,Damage,24,,,24 Lightning to Naga,1,"Lightning Bolt, FIRST HDYWTDT",,
85,85,2,0:16:32,Keyleth,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage,,
86,86,2,0:16:32,Keyleth,Constitution Save,13,10,,,,With advantage,,
87,87,2,0:22:27,Percy,Persuasion,14,12,,,,,,
88,88,2,0:24:00,Vax'ildan,Sleight of Hand,11,2,,,,,,
89,89,2,0:24:25,Vax'ildan,Inspiration,8,,,,,,,
90,90,2,0:26:30,,,,,,,,"Several rolls for healing from rest, no values given",,
91,91,2,0:26:50,Vex'ahlia,Investigation,25,23,,,,Bad math or actually proficent?,,
92,92,2,0:42:07,Vex'ahlia,Perception,Nat1,1,,,,,,
93,93,2,0:42:10,Percy,Perception,10,3,,,,Assists Vex,,
94,94,2,0:42:10,Vax'ildan,Perception,10,3,,,,This one was mouthed.,,
95,95,2,0:44:00,Vax'ildan,Dexterity Save,12,3,,,,,,
96,96,2,0:45:38,Tiberius,Arcana,13,7,,,,,,
97,97,2,0:51:38,Tiberius,Persuasion,11,2,,,,,,
98,98,2,0:53:45,Keyleth,Persuasion,8,8,,,,,,
99,99,2,0:53:45,Keyleth,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage,,
100,100,2,0:55:38,Vax'ildan,Persuasion,Nat20,20,,,,Disregarded due to disadvantage,,
101,101,2,0:55:38,Vax'ildan,Persuasion,19,17,,,,,,
102,102,2,1:02:54,Vex'ahlia,Persuasion,15,8,,,,,,
103,103,2,1:11:00,Percy,Tinkering,10,Unknown,,,,"Trapping Arrow,
Includes inspiration die, amount not given",,
104,104,2,1:15:30,Percy,Arcana,15,12,,,,,,
105,105,2,1:15:52,Vex'ahlia,Investigation,Nat1,1,,,,,,
106,106,2,1:15:52,Keyleth,Investigation,5,3,,,,Assists Vex,,
107,107,2,1:22:25,Vex'ahlia,Investigation,17,15,,,,,,
108,108,2,1:26:25,Vax'ildan,Stealth,29,16,,,,,,
109,109,2,1:43:54,Vex'ahlia,Stealth,17,8,,,,,,
110,110,2,1:43:54,Vax'ildan,Stealth,18,5,,,,,,
111,111,2,1:44:44,Vax'ildan,Perception,18,8,,,,,,
112,112,2,1:46:39,Keyleth,Perception,12,2,,,,,,
113,113,2,1:50:45,Scanlan,Cutting Words,3,,,,,,,
114,114,2,1:51:40,Grog,Initiative,14,12,,,,,,
115,115,2,1:51:40,Keyleth,Initiative,17,15,,,,,,
116,116,2,1:51:40,Percy,Initiative,17,10,,,,,,
