,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
0,C2E001,00:35:40,Fjord,Perception,Nat20,20,,,,
1,C2E001,00:39:22,Jester,Perception,22,19,,,,
2,C2E001,00:39:30,Beau,Perception,19,16,,,,
3,C2E001,00:43:04,Beau,Insight,13,8,,,,
4,C2E001,00:50:37,Molly,Insight,16,11,,,,
5,C2E001,00:51:00,Molly,Sleight of Hand,16,11,,,,
6,C2E001,00:51:25,Nott,Perception,14,14,,,,
7,C2E001,00:52:13,Molly,Sleight of Hand,19,14,,,,
8,C2E001,00:53:09,Molly,Sleight of Hand,14,9,,,,
9,C2E001,01:06:50,Nott,Sleight of Hand,20,12,,,,
10,C2E001,01:06:57,Jester,Perception,Unknown,Unknown,,,,
11,C2E001,01:07:34,Jester,Sleight of Hand,13,8,,,,
12,C2E001,01:07:35,Nott,Perception,Unknown,Unknown,,,,
13,C2E001,01:08:50,Nott,Other,Unknown,Unknown,,,,Crick Queen's Call
14,C2E001,01:08:50,Nott,Other,Unknown,Unknown,,,,Crick Queen's Call
15,C2E001,01:08:50,Nott,Other,Unknown,Unknown,,,,Crick Queen's Call
16,C2E001,01:08:52,Jester,Other,5,,,,,Crick Queen's Call
17,C2E001,01:08:52,Jester,Other,5,,,,,Crick Queen's Call
18,C2E001,01:08:52,Jester,Other,5,,,,,Crick Queen's Call
19,C2E001,01:09:11,Nott,Acrobatics,24,18,,,,
20,C2E001,01:09:13,Beau,Athletics,14,10,,,,
21,C2E001,01:15:43,Fjord,Insight,13,15,,,,
22,C2E001,01:15:53,Nott,Deception,11,14,,,,
23,C2E001,01:20:25,Nott,Constitution Save,12,10,,,,
24,C2E001,01:21:23,Caleb,Investigation,12,6,,,,
25,C2E001,01:24:17,Jester,Sleight of Hand,Nat20,20,,,,
26,C2E001,01:55:10,Jester,Perception,8,5,,,,
27,C2E001,01:55:16,Beau,Insight,Nat20,20,,,,
28,C2E001,01:57:57,Yasha,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
29,C2E001,01:57:57,Yasha,Investigation,12,,,,,With advantage
30,C2E001,01:58:37,Nott,Sleight of Hand,12,4,,,,
31,C2E001,02:01:15,Fjord,Perception,11,11,,,,
32,C2E001,02:24:32,Beau,Initiative,Nat1,1,,,,
33,C2E001,02:25:23,Jester,Initiative,22,19,,,,
34,C2E001,02:25:31,Molly,Initiative,10,7,,,,
35,C2E001,02:25:33,Nott,Initiative,10,6,,,,
36,C2E001,02:25:34,Fjord,Initiative,12,12,,,,
37,C2E001,02:25:34,Yasha,Initiative,13,11,,,,
38,C2E001,02:25:35,Caleb,Initiative,11,10,,,,
39,C2E001,02:26:51,Jester,Spell Attack,16,11,,,,Guiding Bolt
40,C2E001,02:27:04,Jester,Damage,18,,,18 to Creature 1,,
41,C2E001,02:30:29,Fjord,Attack,Nat1,1,,,,Disregarded due to advantage
42,C2E001,02:30:29,Fjord,Attack,18,12,,,,Falchion with advantage
43,C2E001,02:30:42,Fjord,Damage,11,,,11 to Creature 1,,
44,C2E001,02:31:17,Caleb,Spell Attack,17,11,,,,Chromatic Orb (Cold)
45,C2E001,02:31:44,Caleb,Damage,9,,,9 Cold to Creature 1,,
46,C2E001,02:33:07,Nott,Performance,15,18,,,,
47,C2E001,02:34:29,Beau,Athletics,7,3,,,,
48,C2E001,02:35:08,Beau,Attack,20,14,,,,Unarmed Strike
49,C2E001,02:35:18,Beau,Attack,15,9,,,,Unarmed Strike
50,C2E001,02:35:25,Beau,Damage,11,,,11 to Creature 1,,
51,C2E001,02:36:28,Caleb,Dexterity Save,17,16,,,,
52,C2E001,02:36:28,Nott,Dexterity Save,15,9,,,,
53,C2E001,02:39:04,Molly,Attack,21,16,,,,Sword
54,C2E001,02:39:10,Molly,Damage,9,,,9 (8 + 1 Cold) to Creature 1,,
55,C2E001,02:40:38,Jester,Damage,3,,,3 Necrotic to Creature 1,,Toll the Dead
56,C2E001,02:43:23,Fjord,Attack,16,10,,,,Falchion AoO
57,C2E001,02:43:30,Fjord,Damage,12,,,12 to Creature 2,,
58,C2E001,02:45:29,Yasha,Attack,Unknown,Unknown,,,,Disreagrded due to advantage
59,C2E001,02:45:29,Yasha,Attack,17,12,,,,Greatsword Reckless
60,C2E001,02:45:50,Yasha,Damage,13,,,13 to Creature 1,1.0,
61,C2E001,02:47:53,Fjord,Attack,21,15,,,,Falchion
62,C2E001,02:47:58,Fjord,Damage,17,,,17 (12 + 5 Necrotic) to Creature 2,,
63,C2E001,02:48:54,Caleb,Spell Attack,11,5,,,,Chromatic Orb (Acid)
64,C2E001,02:49:54,Nott,Attack,16,10,,,,Crossbow Sneak Attack
65,C2E001,02:50:04,Nott,Damage,14,,,14 (10 + 4 SA) to Creature 2,,
66,C2E001,02:51:15,Nott,Perception,9,9,,,,
67,C2E001,02:51:58,Molly,Attack,12,7,,,,Sword
68,C2E001,02:52:07,Molly,Attack,21,16,,,,Sword
69,C2E001,02:52:16,Molly,Damage,4,,,4 to Creature 2,,
70,C2E001,02:52:26,Molly,Damage,9,,,9 (6 + 3 Cold) to Creature 2,,
71,C2E001,02:53:22,Beau,Attack,16,10,,,,Unarmed Strike
72,C2E001,02:53:37,Beau,Damage,6,,,6 to Creature 2,,
73,C2E001,02:54:20,Beau,Attack,25,19,,,,Unarmed Strike
74,C2E001,02:54:21,Beau,Attack,24,18,,,,Unarmed Strike
75,C2E001,02:54:30,Beau,Damage,13,,,13 to Creature 2,1.0,HDYWTDT
76,C2E001,02:57:07,Jester,Healing,7,,,,,"Cure Wounds (1st), Beau heals 7 points"
77,C2E001,02:57:13,Jester,Healing,10,,,,,"Cure Wounds (1st), Molly heals 10 points"
78,C2E001,02:58:57,Jester,Deception,19,16,,,,
79,C2E001,3;00:16,Jester,Investigation,14,13,,,,
80,C2E001,03:02:19,Molly,Deception,8,6,,,,
81,C2E001,03:02:38,Jester,Sleight of Hand,Nat1,1,,,,
82,C2E001,03:03:39,Jester,Deception,16,13,,,,
83,C2E001,03:08:55,Molly,Deception,Nat1,1,,,,
