,Index of Roll in AllRollsWildemount.csv,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
0,1,C2E001,00:39:22,Jester,Perception,22,19,,,,
1,10,C2E001,01:06:57,Jester,Perception,Unknown,Unknown,,,,
2,11,C2E001,01:07:34,Jester,Sleight of Hand,13,8,,,,
3,16,C2E001,01:08:52,Jester,Other,5,,,,,Crick Queen's Call
4,17,C2E001,01:08:52,Jester,Other,5,,,,,Crick Queen's Call
5,18,C2E001,01:08:52,Jester,Other,5,,,,,Crick Queen's Call
6,25,C2E001,01:24:17,Jester,Sleight of Hand,Nat20,20,,,,
7,26,C2E001,01:55:10,Jester,Perception,8,5,,,,
8,33,C2E001,02:25:23,Jester,Initiative,22,19,,,,
9,39,C2E001,02:26:51,Jester,Spell Attack,16,11,,,,Guiding Bolt
10,40,C2E001,02:27:04,Jester,Damage,18,,,18 to Creature 1,,
11,55,C2E001,02:40:38,Jester,Damage,3,,,3 Necrotic to Creature 1,,Toll the Dead
12,76,C2E001,02:57:07,Jester,Healing,7,,,,,"Cure Wounds (1st), Beau heals 7 points"
13,77,C2E001,02:57:13,Jester,Healing,10,,,,,"Cure Wounds (1st), Molly heals 10 points"
14,78,C2E001,02:58:57,Jester,Deception,19,16,,,,
15,79,C2E001,3;00:16,Jester,Investigation,14,13,,,,
16,81,C2E001,03:02:38,Jester,Sleight of Hand,Nat1,1,,,,
17,82,C2E001,03:03:39,Jester,Deception,16,13,,,,
18,98,C2E002,01:18:12,Jester,Medicine,17,12,,,,
19,101,C2E002,01:34:01,Jester,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
20,102,C2E002,01:34:01,Jester,Dexterity,15,12,,,,With advantage
21,109,C2E002,01:45:05,Jester,Investigation,16,15,,,,
22,110,C2E002,01:50:06,Jester,Deception,17,14,,,,
23,111,C2E002,01:54:05,Jester,Investigation,12,11,,,,
24,112,C2E002,02:22:47,Jester,Perception,11,8,,,,
25,125,C2E002,03:07:31,Jester,Stealth,21,18,,,,
26,127,C2E002,03:09:14,Jester,Perception,Nat1,1,,,,
27,134,C2E002,03:12:44,Jester,Performance,4,3,,,,
28,139,C2E002,03:13:38,Jester,Stealth,19,16,,,,
29,151,C2E002,03:27:18,Jester,Stealth,18,15,,,,
30,157,C2E002,03:39:06,Jester,Stealth,12,9,,,,
